sticker_url,from,from_id
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (117).webp,🐥💛🌻,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (118).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (119).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (12).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (120).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (121).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (121).webp,🐥💛🌻,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (122).webp,🐑💛🌙,12
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (122).webp,🐥💛🌻,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (123).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (124).webp,🐑💛🌙,7
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (124).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (125).webp,🐑💛🌙,16
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (125).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (126).webp,🐑💛🌙,163
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (126).webp,🐥💛🌻,23
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (127).webp,🐑💛🌙,132
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (127).webp,🐥💛🌻,150
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (128).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (128).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (129).webp,🐑💛🌙,10
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (13).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (130).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (130).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (131).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (132).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (133).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (134).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (135).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (135).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (136).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (137).webp,🐑💛🌙,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (138).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (139).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (14).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (140).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (141).webp,🐥💛🌻,7
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (142).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (143).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (144).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (145).webp,🐑💛🌙,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (146).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (147).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (148).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (149).webp,🐑💛🌙,11
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (15).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (150).webp,🐑💛🌙,8
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (150).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (151).webp,🐑💛🌙,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (152).webp,🐑💛🌙,6
